会社名,代表者,ホームページ,メールアドレス,電話番号,資本金,売上高,連絡先
エイトビー株式会社,"代表取締役　近藤 将多",,,052-414-7731,3000万円,,"〒450-0002名古屋市中村区名駅3-25-9 堀内ビル9FTel:052-414-7731Fax:052-414-7732"
イリオスネット株式会社,"代表取締役社長　 宮崎　毅",,n-saiyo@heliosnet.co.jp,03-5789-2065,1億5000万円,162億6000万円（2016年度）,"イリオスネット(株)　採用担当 〒108-0074 東京都港区高輪2-15-21 コシダビル5FTEL：03-5789-2065 Mail：n-saiyo@heliosnet.co.jp"
株式会社エイアンドシー,"伊藤 芳明",,,023-647-1053,5000万円,163億円(平成27年度),本社／山形市西田5丁目26-1TEL／023-647-1053担当者／丹野
株式会社アクセス,"代表取締役／津曲修一郎（つまがり しゅういちろう）",,,052-684-7131,1億円（平成28年3月28日登記）◎1000万円（平成7年11月24日登記）より増資しました。,,"株式会社アクセス〒460-0008　 名古屋市中区栄3-18-1 ナディアパークビジネスセンタービル13FＴＥＬ：052-684-7131"
株式会社アドキットインフォケーション,代表取締役社長　家田里香,http://www.ad-kit.co.jp,,052-220-5131,4000万円,25億円（平成26年3月）,"◆名古屋支社〒460-0002愛知県名古屋市中区丸の内2-14-20 スクエア3F交通:地下鉄丸の内駅徒歩1分TEL:052-220-5131担当:安藤◆岐阜本社〒500-8385岐阜県岐阜市下奈良1-1-8交通:JR西岐阜駅徒歩15分TEL:058-268-7577担当:山田◆尾張一宮支社〒491-0918愛知県一宮市末広1-14-6交通:JR尾張一宮駅徒歩8分TEL:0586-48-4870担当:岩田◆三河安城支社〒446-0019愛知県安城市新明町4-7交通:名鉄西尾線北安城駅徒歩9分、JR安城駅徒歩11分TEL:0566-71-2057担当:服部URL:http://www.ad-kit.co.jp/"
株式会社ナフコ,代表取締役会長　深町勝義代表取締役社長　石田卓巳,,,,35億3800万円,2222億円（2015年3月実績）2326億円(2014年3月実績）2241億円(2013年3月実績）2203億円(2012年3月実績）2173億円(2011年3月実績）2085億円(2010年3月実績）,〒802-0006北九州市小倉北区魚町2-6-10ナフコ本部　人事部　採用窓口／採用プロジェクト事務局　　　　担当　　福本・中村TEL（093）521-5155（代）URL:http://www.nafco.tv
株式会社クラップス,"代表取締役社長　吉井 佐智代",,,086-246-4200,9000万円,39億円（2016年7月期）,"株式会社クラップス〒700-0971岡山県岡山市北区野田2-11-17クラップスガーデンスクエア 6階TEL:086-246-4200採用担当：石本 義明"
株式会社マキヤ,代表取締役社長　川原崎康雄,http://www.makiya-group.co.jp/,jinji@makiya-group.co.jp,0545-36-1141,11億9831万円,600億5900万円（2016年3月）,"株式会社マキヤ〒417-0801 静岡県富士市大渕2373番地人事課 新卒募集係 電話：0545-36-1141（人事直通） 0545-36-1000（代表）E-MAIL：: jinji@makiya-group.co.jp"
株式会社アドマップス,,,,03-6895-5511,1000万円,,"〒110-0015　東京都台東区東上野1-14-4 野村不動産上野ビル9Ｆ Ａ　ＴＥＬ：03-6895-5511"
ネッツトヨタ宇都宮株式会社,"代表取締役社長　 守川　真介",http://www.netz-utsunomiya.co.jp,,028-635-6655,1億円,81億円(平成28年3月期）,ネッツトヨタ宇都宮株式会社採用担当／管理本部　総務課　秋山　坂入〒320-0833　栃木県宇都宮市不動前1-2-18TEL:028-635-6655FAX:028-632-8161【MAIL】jinｊi@netz-utsunomiya.co.jp【HP】http://www.netz-utsunomiya.co.jp/
株式会社一広グループホールディングス,"代表取締役　山上 徳夫",,,03-3294-0117,9000万円,45億6983万円(平成27年度実績),"〒101-0052東京都千代田区神田小川町1-11　千代田小川町クロスタ14Ｆ管理部 採用担当（TEL)　03-3294-0117"
株式会社デュ・ラン社,"代表取締役　小沼 トミ",http://www.durun.co.jp/,,045-201-2770,4000万円（グループ総資本金）,33億8200万円,株式会社デュ・ラン社〒231-0012神奈川県横浜市中区相生町6-113　オーク桜木町ビル3F【採用担当窓口】045-201-2770
アイプロスペクト・ジャパン株式会社,"代表取締役社長／CEO　金井 耕一",,nagao@realive.co.jp,,1000万円,非公開,"アイプロスペクト・ジャパン株式会社 〒104-0045 東京都中央区築地5-6-10　浜離宮パークサイドプレイス14F お問い合わせの際は「アイプロスペクト・ジャパン」新卒採用宛に 下記メールアドレスにご連絡ください。 mail：nagao@realive.co.jp 「アイプロスペクト・ジャパン」新卒採用：長尾"
"株式会社 ＣＲＡＺＹ ＴＶ","代表者　代表取締役　藤村尚道（ふじむら　ひさみち）関西学院大学　商学部卒地方局でディレクターを経験後、31歳で(株)ＣＲＡＺＹ ＴＶを設立。たったひとりではじめた会社は現在150名を超える大所帯となりました。さて、社長の藤村尚道、一言で言えばまずはその発想力。番組企画に何か楽しい演出を加えたいとき、プロジェクトに風穴を開けるようなアイデアが欲しいとき「そうだ、社長に相談してみよう」。とっても頼りになる社長です。過酷な現場も数多く経験。どんな現場でもあわてず騒がず乗り切るタフな精神力の持ち主ですが普段は穏やかで暖かい人柄。社員からもお客様からも愛される「シャチョー」です。",,,03-3477-1222,5000万円,"◎平成26年8月期：11億6000万円 → ◎平成27年8月期：12億8000万円 → ◎平成28年8月期：16億3000万円","株式会社 ＣＲＡＺＹ ＴＶ(クレイジーティブィ)〒150-0041 東京都渋谷区神南1-19-11　パークウェースクエア2　5階03-3477-1222／採用担当jinji@crazytv.com"
"有限会社 東江メガネ店南部","代表取締役　東江 功",,,098-833-2888,300万円,17億円（2015年度）,"有限会社東江メガネ店南部採用担当　大宜見 圭吾〒902-0073　沖縄県那覇市上間290-6電話：098-833-2888"
株式会社プラス・シー,"代表取締役社長　大平 美樹彦",,,052-586-6001,3000万円,非公開,"株式会社プラス・シー【本社】 所在地:愛知県名古屋市中村区名駅3-28-12　大名古屋ビルヂング20階 TEL:052-586-6001　担当:永峯、西川"
株式会社ハマダ宝石時計店,"代表取締役社長　浜田 佳久",http://vanillashop.me/,,082-259-3888,700万円,4億5000万円（2016年3月実績）,"株式会社ハマダ宝石時計店〒730-0036広島県広島市中区袋町8-10ヴァニラ 広島店　店長　浜田TEL：082-259-3888　FAX：082-259-3889Email：taishi.h@vanillashop.me"
ミドリ薬品株式会社,代表取締役　野村　輝雄,http://www.midori-yakuhin.co.jp,,0258-28-1022,1000万円,6億1200万円（2015年3月実績）,"＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ミドリ薬品株式会社〒940-2104新潟県長岡市大島新町5-1-3TEL: 0258-28-1022HP: http://www.midori-yakuhin.co.jp/＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝"
株式会社ココカラファインヘルスケア,代表取締役社長　塚本　厚志,,,045-548-5969,9500万円,3491億64百万円（平成27年3月期/ココカラファイングループ実績）,"■新横浜本社■ 〒222-0033 神奈川県横浜市港北区新横浜3-17-6 ＪＲ・地下鉄「新横浜駅」　徒歩7分 TEL:045-548-5969 担当　真子（まなこ）■関西事務所■ 〒542-0081 大阪市中央区南船場2-7-30　船場ＳＴビル地下鉄堺筋線「長堀橋駅」　徒歩3分 TEL:06-6267-0541 担当　川橋"
株式会社セキ薬品,"代表取締役社長　関　伸治（薬剤師）　【薬学部出身の若い経営陣が会社を引っ張ります！】社長の関を始め、皆さんの採用担当となる続木（取締役 店舗運営部 部長）など、当社の経営陣には薬剤師が多いのも特徴です。文系の学生はもちろん、薬学部の学生も安心です。同じ目線・同じ視点で良き相談相手になれると思います。",http://www.sekiyakuhin.co.jp,k.nozawa@sekiyakuhin.jp,0480-34-4829,8320万円,【毎年成長している会社。だから安心！】695億円（2018年3月期）予定639億円（2017年3月期）608億円（2016年3月期）505億円（2015年3月期）　※2015年度は決算月変更により11ヶ月間の数字となります。522億円（2014年4月期）480億円（2013年4月期）425億円（2012年4月期）385億円（2011年4月期）342億円（2010年4月期）306億円（2009年4月期）270億円（2008年4月期）234億円（2007年4月期）216億円（2006年4月期）189億円（2005年4月期）164億円（2004年4月期）131億円（2003年4月期）104億円（2002年4月期）当社は約30年前、売上高がわずか6億円の時に10年計画を立てました。「2001年には100億円企業になろう！」という計画です。その目標も、社員の頑張り、お取引先などの協力によって、2002年4月期決算（2001年5月～2002年4月）で104億円を達成しました。現在は2023年「売上高1050億円」を目標に掲げ、邁進しています。,株式会社セキ薬品薬剤師担当／野澤・榊総合職担当／渡辺・淺野TEL.0480-34-4829FAX.0480-34-5329E-mail　k.nozawa@sekiyakuhin.jp（薬学生）　jinji@sekiyakuhin.jp（総合職）〒345-0801　埼玉県南埼玉郡宮代町百間4-2-22http://www.sekiyakuhin.co.jp
シグナルホールディングスグループ　[アド・リード、シグナル東京、シグナル、シグナルエージェント],,http://signal-recruit.jp,,06-6214-0277,,,"◎合同募集についてのお問い合わせや受付は、株式会社シグナルホールディングス人事部で行っております。 ※採用・選考は募集会社の本社または支社にて行います。 〒542-0086　大阪市中央区西心斎橋2-2-3　EDGE心斎橋11F TEL : 06-6214-0277　（人事部） FAX : 06-6214-0900「株式会社シグナル　採用ＨＰ」http://signal-recruit.jp/"
株式会社京都きもの市場,代表取締役社長　田中　敬次郎,http://www.kimonoichiba.com,recruit@kimonoichiba.com,075-241-8888,1億円,30億9043万円円（2016年7月）,"■株式会社京都きもの市場■―採用総合窓口―〒604-8223　京都市中京区四条新町上ル小結棚町438番地の1京都シルクビル採用人事課採用担当　横田（よこた）MAIL : recruit@kimonoichiba.comTEL ： 075-241-8888　　FAX ： 075-241-0182→アクセス阪急京都線 烏丸駅・市営地下鉄 四条駅　より徒歩５分http://www.kimonoichiba.com/recruit/"
株式会社　オフィスて・ら,代表取締役社長　海野　健史,http://www.officeterra.co.jp/top.html,,03-6215-8752,1000万円,当社規定により非公開,株式会社　オフィスて・ら〒105-0021　東京都港区東新橋1丁目3番9号　第4小田ビル7階採用担当者：山田／浅井／岩田TEL：03-6215-8752FAX：03-6215-8757
日本綜合テレビ株式会社,代表取締役CEO　脇山典隆,http://nstpictures.jp,,03-5354-2331,１億円,"40億円 (2017年3月期見込)","日本綜合テレビ株式会社〒160-0023東京都新宿区西新宿4-15-7パシフィックマークス新宿パークサイド3FTEL:03-5354-2331 http://nstpictures.jp/"
中部三菱自動車販売株式会社,代表取締役　鈴木道幸,http://www.chubu-mitsubishi-motor-sales.com,z.saiyou@chubu.mitsubishi-motor-sales.com,052-932-2221,1億円,160億円（2016年3月実績）,"〒461-0001 愛知県名古屋市東区泉3丁目18番7号TEL：052-932-2221採用担当：小島、小林E-mail　z.saiyou@chubu.mitsubishi-motor-sales.comURL　http://www.chubu-mitsubishi-motor-sales.com"
株式会社オートベル,代表取締役社長　金指忠男,,,03-6706-4235,9900万円,82億6700万円（2016年4月）,"【住所】〒410-0011　　　　静岡県沼津市岡宮1266-87【TEL】 採用専用ダイヤル：03-6706-4235（対応：平日9：00～20：00）　　　　　本社　　　　　　　　：055-922-6007【E-mail】　採用担当：saiyo@autobell.co.jp【採用担当】管理部　総務人事課☆お気軽にお問合せ下さい"
株式会社タカミヤ,代表取締役社長　上田桂嗣,http://www.takamiya.co.jp,jinzai@takamiya.co.jp,093-661-3171,9000万円,207億円（2017年1月）,"〒805-8539福岡県北九州市八幡東区前田企業団地1-1 採用担当： 人事総務課　野口、大石 TEL：　093-661-3171(代) メール：　jinzai@takamiya.co.jpURL：　http://www.takamiya.co.jp/"
株式会社アイ・シー・ビー・エム,代表取締役　池田正宏,http://www.icbm.co.jp,icbm@crocus.ocn.ne.jp,03-5402-8787,2000万円,2億2000万円（2017年3月実績）,株式会社アイ・シー・ビー・エム〒105-0013東京都港区浜松町1-30-5　浜松町スクエアスタジオ1606号新卒採用チームTEL：03-5402-8787FAX：03-5402-0021E-mail：icbm@crocus.ocn.ne.jp会社HP：http://www.icbm.co.jp/
株式会社速太郎本部,代表取締役　関口　速人,http://www.work-hayataro.com,work@hayataro.com,082-537-1700,1000万円,関連会社全体売上／13億5080万円（2016年1月実績),〒733-0001　広島市西区大芝2-13-3グランデ・パラッツォ大芝２-２０１(株)速太郎本部　採用担当：石中・東TEL：082-537-1700メール：work@hayataro.comHP：http://www.work-hayataro.com/
山陽村上モーター株式会社,取締役社長　村上　均,http://www.sanyo-murakami.co.jp,,,1000万円,20億円(2016年1月期実績),〒700-0971　岡山県岡山市北区野田5-18-7　採用担当／総務部　村上貴久ＴＥＬ　０８６－２４１－８１０１※ぜひホームページもご覧ください→　http://www.sanyo-murakami.co.jp/　
